TEN,NP,NOC,HHT,LNGI,ELEP,VEH,HINCP,RNTP,PUMA,COST_BURDALL,RMSP
Rented,5,3.0,"Other family household: Female householder, no spouse present",1.0,100.0,1.0,18000.0,800.0,Charlotte City (Northwest),1.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,120.0,1.0,72000.0,1100.0,Charlotte City (South),0.0,7
Rented,2,0.0,Married couple household,1.0,170.0,2.0,56600.0,600.0,Charlotte City (Central),0.0,5
Rented,4,2.0,Married couple household,1.0,80.0,2.0,59400.0,800.0,Charlotte City (Southwest),0.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,30.0,1.0,160000.0,1400.0,Charlotte City (Central),0.0,1
Rented,3,0.0,Nonfamily household: Female householder: Not living alone,1.0,80.0,3.0,121300.0,1300.0,Charlotte City (Southwest),0.0,6
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,110.0,2.0,116000.0,1400.0,Charlotte City (Southwest),0.0,7
Rented,2,1.0,"Other family household: Female householder, no spouse present",1.0,90.0,1.0,42000.0,830.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,0.0,2
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,50000.0,1600.0,Charlotte City (South),1.0,6
Rented,2,0.0,Married couple household,2.0,110.0,2.0,45600.0,650.0,Charlotte City (Northeast),0.0,4
Rented,2,0.0,Married couple household,1.0,150.0,2.0,165000.0,1200.0,Charlotte City (Northeast),0.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,90.0,1.0,5920.0,330.0,Charlotte City (Northeast),1.0,4
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,100.0,2.0,75000.0,960.0,Charlotte City (Southwest),0.0,4
Rented,4,2.0,"Other family household: Female householder, no spouse present",1.0,100.0,2.0,33700.0,780.0,Charlotte City (Northwest),1.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,100.0,2.0,41100.0,450.0,Charlotte City (Northwest),0.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,140.0,0.0,26100.0,840.0,Charlotte City (Northeast),1.0,5
Rented,4,0.0,Married couple household,1.0,230.0,5.0,86300.0,800.0,Charlotte City (Northeast),0.0,7
Rented,2,1.0,"Other family household: Female householder, no spouse present",2.0,200.0,1.0,11400.0,700.0,Charlotte City (Southwest),1.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,270.0,0.0,0.0,800.0,Charlotte City (Northwest),1.0,3
Rented,3,1.0,Married couple household,1.0,170.0,3.0,119000.0,1800.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,0.0,6
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,70.0,3.0,85000.0,1300.0,Charlotte City (Southwest),0.0,5
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,190.0,1.0,114700.0,860.0,Charlotte City (Southwest),0.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,100.0,1.0,10000.0,1000.0,Charlotte City (Northeast),1.0,3
Rented,2,1.0,"Other family household: Female householder, no spouse present",1.0,80.0,1.0,40000.0,900.0,Charlotte City (South),1.0,4
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,120.0,2.0,30000.0,1900.0,Charlotte City (Central),1.0,4
Rented,2,0.0,Married couple household,1.0,100.0,0.0,20100.0,500.0,Charlotte City (Northwest),1.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,50.0,1.0,35000.0,890.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,2
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,100.0,2.0,88000.0,1400.0,Charlotte City (Southwest),0.0,4
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,60.0,2.0,42600.0,1100.0,Charlotte City (Southwest),1.0,2
Rented,4,0.0,Married couple household,1.0,120.0,5.0,56000.0,1700.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,10
